URL,Nombre,Características,Descripción,Imagen,Precios
https://pc-builds.com/es/parts/case/GYHqGA/nzxt-h7-flow-rgb-2023-atx-mid-tower,NZXT H7 Flow RGB (2023)  ATX Mid Tower,"{'Longitud máxima de GPU': '400 mm', 'Dimensiones': '480 x 230 x 505 mm', 'Ranuras de expansión de altura completa': '7', 'Factores de forma': 'ATX, Micro ATX, Mini ITX', 'Conectores frontales': 'USB 3.2 Gen 1 Type-A, USB 3.2 Gen 2 Type-C', 'Tamaños de bahías': '2x 3.5 , 4x 2.5'}","The NZXT H7 Flow RGB is an ATX mid tower case designed to accommodate a variety of motherboard form factors including ATX, Micro ATX, and Mini ITX. With dimensions of 480 x 230 x 505 mm and a volume of 55.75 liters, it offers ample space for components and efficient airflow. The case features a PSU shroud, which helps manage wiring and improve aesthetics while providing support for graphics cards with a maximum length of up to 400 mm.",https://m.media-amazon.com/images/I/51zWG6NZB-L._SL500_.jpg,"{'Nuevos': {'Cantidad': 7, 'Precio': '177.97 €.'}, 'Utilizados': {'Cantidad': 1, 'Precio': '145.97 €.'}}"
https://pc-builds.com/es/parts/case/K9MTMX/rosewill-cullinan-px-rgb-st-atx-mid-tower,Rosewill CULLINAN PX RGB-ST  ATX Mid Tower,"{'Longitud máxima de GPU': '310 mm', 'Ranuras de expansión de altura completa': '7', 'Factores de forma': 'ATX, Micro ATX, Mini ITX', 'Conectores frontales': 'USB 3.2 Gen 1 Type-A', 'Tamaños de bahías': '2x 2.5 , 2x 3.5'}","The Rosewill CULLINAN PX RGB-ST is an ATX mid tower case designed to accommodate various motherboard sizes, including ATX, Micro ATX, and Mini ITX. Its construction includes a PSU shroud to enhance cable management and aesthetics, making it a practical choice for builders looking for an organized interior. This case supports a maximum GPU length of 310 mm, catering to users who want to incorporate high-performance graphics cards.",https://m.media-amazon.com/images/I/31G5MvjajuL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '299.98 $.'}}"
https://pc-builds.com/es/parts/case/TF9wHP/kolink-observatory-y-argb-atx-mid-tower,KOLINK Observatory Y ARGB  ATX Mid Tower,"{'Longitud máxima de GPU': '380 mm', 'Dimensiones': '471 x 231 x 488 mm', 'Ranuras de expansión de altura completa': '7', 'Factores de forma': 'ATX, EATX, Micro ATX, Mini ITX', 'Conectores frontales': 'USB 2.0 Type-A, USB 3.2 Gen 1 Type-A', 'Tamaños de bahías': '2x 3.5 , 3x 2.5'}","KOLINK Observatory Y ARGB is an ATX Mid Tower case designed to accommodate a variety of motherboard sizes, including ATX, EATX, Micro ATX, and Mini ITX. With dimensions of 471 x 231 x 488 mm and a volume of 53.1 liters, it strikes a balance between spaciousness and compactness, making it suitable for a range of setups. The case features a PSU shroud, which helps in managing cable organization and enhancing aesthetics.",https://m.media-amazon.com/images/I/51VcEBsgl4L._SL500_.jpg,"{'Nuevos': {'Cantidad': 6, 'Precio': '124.90 €.'}, 'Utilizados': {'Cantidad': 1, 'Precio': '151.55 €.'}}"
https://pc-builds.com/es/parts/case/kx3RJ6/bitfenix-shinobi-atx-mid-tower,BitFenix Shinobi  ATX Mid Tower,"{'Ventana del panel lateral': 'None', 'Longitud máxima de GPU': '320 mm', 'Dimensiones': '489 x 204 x 459 mm', 'Ranuras de expansión de altura completa': '7', 'Ranuras de expansión de media altura': '0', 'Factores de forma': 'ATX, Micro ATX, Mini ITX, Thin Mini ITX', 'Conectores frontales': 'USB 2.0 Type-A, USB 3.2 Gen 1 Type-A', 'Tamaños de bahías': '3x 5.25 , 7x 3.5'}","The BitFenix Shinobi is an ATX Mid Tower case designed to house a variety of motherboard form factors, including ATX, Micro ATX, Mini ITX, and Thin Mini ITX. Its dimensions of 489 x 204 x 459 mm and a volume of 45.79 liters provide ample space for components while maintaining a compact footprint suitable for various setups. The case features seven full-height expansion slots, accommodating multiple graphics cards and other add-ons, with a maximum GPU length of 320 mm, making it ideal for gaming and high-performance applications.",https://m.media-amazon.com/images/I/41OjS059Z+L._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '17.21 €.'}}"
https://pc-builds.com/es/parts/case/DYmFvf/bitfenix-nova-mesh-tg-atx-mid-tower,BitFenix Nova Mesh TG  ATX Mid Tower,"{'Ventana del panel lateral': 'Tempered Glass', 'Longitud máxima de GPU': '340 mm', 'Dimensiones': '437 x 206 x 460 mm', 'Ranuras de expansión de altura completa': '7', 'Ranuras de expansión de media altura': '0', 'Factores de forma': 'ATX, Micro ATX, Mini ITX', 'Conectores frontales': 'USB 3.2 Gen 1 Type-A', 'Tamaños de bahías': '2x 3.5 , 3x 2.5'}","The BitFenix Nova Mesh TG is an ATX Mid Tower case designed to accommodate various motherboard form factors, including ATX, Micro ATX, and Mini ITX. Its dimensions are 437 x 206 x 460 mm, providing a volume of 41.41 liters, which allows for ample space for component installation and cable management. The case features a tempered glass side panel, enhancing the aesthetic appeal while giving visibility to the internal components.",https://m.media-amazon.com/images/I/41U-eFUPneL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '131.15 £.'}}"
https://pc-builds.com/es/parts/case/zPM4ol/azza-pyramid-mesh-atx-mid-tower,Azza Pyramid Mesh  ATX Mid Tower,"{'Longitud máxima de GPU': '330 mm', 'Dimensiones': '490 x 490 x 585 mm', 'Ranuras de expansión de altura completa': '3', 'Factores de forma': 'ATX, EATX, Micro ATX, Mini ITX', 'Conectores frontales': 'USB 3.2 Gen 1 Type-A, USB 3.2 Gen 2 Type-C', 'Tamaños de bahías': '1x 3.5 , 2x 2.5'}","The Azza Pyramid Mesh ATX Mid Tower is designed to accommodate various form factors including ATX, EATX, Micro ATX, and Mini ITX, providing versatility for different build configurations. It features a maximum GPU length of 330 mm, allowing for the installation of higher-end graphics cards. The dimensions of the case are 490 x 490 x 585 mm, and it offers a generous internal volume of 140.46 liters, facilitating effective airflow and component organization.",https://m.media-amazon.com/images/I/416xxFcATIL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '375.47 €.'}}"
https://pc-builds.com/es/parts/case/cCdFvf/silverstone-ml09-htpc,Silverstone ML09  HTPC,"{'Ventana del panel lateral': 'None', 'Longitud máxima de GPU': '175 mm', 'Ranuras de expansión de altura completa': '0', 'Ranuras de expansión de media altura': '2', 'Factores de forma': 'Mini ITX', 'Conectores frontales': 'USB 3.2 Gen 1 Type-A', 'Tamaños de bahías': '1x 5.25 , 4x 2.5'}","The Silverstone ML09 HTPC is designed specifically for home theater PC (HTPC) applications, featuring a compact tower type that enables versatile placement in entertainment setups. It lacks a side panel window, streamlining its aesthetic and focus on functionality. The absence of a PSU shroud provides a straightforward interior layout, while a max GPU length of 175 mm accommodates various graphics cards for diverse performance needs.",https://m.media-amazon.com/images/I/41jj0bay+xL._SL500_.jpg,"{'Nuevos': {'Cantidad': 3, 'Precio': '123.17 $.'}, 'Utilizados': {'Cantidad': 2, 'Precio': '43.53 €.'}}"
https://pc-builds.com/es/parts/case/nhgrNz/nzxt-h7-elite-2023-atx-mid-tower,NZXT H7 Elite (2023)  ATX Mid Tower,"{'Longitud máxima de GPU': '400 mm', 'Dimensiones': '480 x 230 x 505 mm', 'Ranuras de expansión de altura completa': '7', 'Factores de forma': 'ATX, Micro ATX, Mini ITX', 'Conectores frontales': 'USB 3.2 Gen 1 Type-A, USB 3.2 Gen 2 Type-C', 'Tamaños de bahías': '2x 3.5 , 4x 2.5'}","The NZXT H7 Elite (2023) is an ATX Mid Tower case that accommodates various motherboard form factors including ATX, Micro ATX, and Mini ITX. It features a PSU shroud that provides a clean aesthetic by concealing power supply cables. Measuring 480 x 230 x 505 mm, it has a volume of 55.75 liters, offering enough space for components while being manageable for standard setups.",https://m.media-amazon.com/images/I/41fVnKrqv-L._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '412.20 $.'}, 'Utilizados': {'Cantidad': 1, 'Precio': '393.52 $.'}}"
https://pc-builds.com/es/parts/case/KKgrNz/apevia-prism-microatx-mid-tower,Apevia PRISM  MicroATX Mid Tower,"{'Longitud máxima de GPU': '340 mm', 'Dimensiones': '358 x 275 x 360 mm', 'Ranuras de expansión de altura completa': '4', 'Factores de forma': 'Micro ATX, Mini ITX', 'Conectores frontales': 'USB 2.0 Type-A, USB 3.2 Gen 1 Type-A', 'Tamaños de bahías': '2x 3.5'}","The Apevia PRISM MicroATX Mid Tower serves as a compact yet functional case designed for Micro ATX and Mini ITX motherboards. With dimensions of 358 x 275 x 360 mm and a volume of 35.4 liters, it provides a moderate space for building a system without overwhelming the desktop. The absence of a power supply shroud allows for easy cable management, though it may detract from a cleaner aesthetic.",https://m.media-amazon.com/images/I/41aib2XwIEL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '113.11 £.'}, 'Utilizados': {'Cantidad': 1, 'Precio': '76.41 $.'}}"
https://pc-builds.com/es/parts/case/BrtWX5/silverstone-ds380-mini-itx-tower,Silverstone DS380  Mini ITX Tower,"{'Ventana del panel lateral': 'None', 'Longitud máxima de GPU': '280 mm', 'Dimensiones': '360 x 211 x 285 mm', 'Ranuras de expansión de altura completa': '2', 'Ranuras de expansión de media altura': '0', 'Factores de forma': 'Mini DTX, Mini ITX', 'Conectores frontales': 'USB 3.2 Gen 1 Type-A', 'Tamaños de bahías': '4x 2.5 , 8x 3.5'}","The Silverstone DS380 is a Mini ITX Tower case designed for compact builds, featuring dimensions of 360 x 211 x 285 mm and a volume of 21.65 liters. It supports Mini DTX and Mini ITX form factors, making it suitable for small form-factor setups. The case includes 2 full height expansion slots but lacks half height expansion slots, providing limited expansion options.",https://m.media-amazon.com/images/I/41JvEq01b5S._SL500_.jpg,"{'Nuevos': {'Cantidad': 10, 'Precio': '184.33 €.'}}"
