URL,Nombre,Características,Descripción,Imagen,Precios
https://pc-builds.com/es/parts/cooler/YdkDkL/silenx-efz-80ha3,SilenX EFZ-80HA3,"{'RPM máximas': '2,200', 'Ruido máximo': '24 dB', 'Altura': '113 mm', 'Refrigerado por agua': 'No', 'Sin ventilador': 'No'}","The SilenX EFZ-80HA3 has a fixed minimum and maximum RPM of 2,200. This consistent speed can provide reliable cooling performance for compatible systems. The noise output ranges from a minimum of 8 dB to a maximum of 24 dB, indicating a quiet operation at lower loads, which can be advantageous for noise-sensitive environments.",https://m.media-amazon.com/images/I/518Kz9UGg6L._SL500_.jpg,"{'Nuevos': {'Cantidad': 3, 'Precio': '77.07 $.'}}"
https://pc-builds.com/es/parts/cooler/8LBA0g/thermalright-assassin-king-120-mini-white-argb-v3,Thermalright Assassin King 120 Mini WHITE ARGB V3,"{'RPM máximas': '1,500', 'Ruido máximo': '25.6 dB', 'Altura': '135 mm', 'Refrigerado por agua': 'No', 'Sin ventilador': 'No'}","Thermalright Assassin King 120 Mini WHITE ARGB V3 operates at a steady minimum and maximum RPM of 1,500, ensuring consistent airflow across its operational range. The noise generated by this cooler remains relatively low at 25.6 dB, making it suitable for builds where silent operation is desired. Its height of 135 mm allows for compatibility with a variety of cases, striking a balance between performance and space efficiency.",https://m.media-amazon.com/images/I/41243NZA8kL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '19.69 $.'}}"
https://pc-builds.com/es/parts/cooler/p7LwHP/thermaltake-th120-argb-sync,Thermaltake TH120 ARGB Sync,"{'RPM máximas': '1,500', 'Ruido máximo': '28.2 dB', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '120 mm', 'Sin ventilador': 'No'}","The Thermaltake TH120 ARGB Sync operates with a consistent performance, featuring a fixed minimum and maximum RPM of 1,500, ensuring reliability in cooling efficiency. It emits a uniform noise level of 28.2 dB, providing a quiet operational environment suitable for various builds, particularly those aimed at minimizing acoustic output while maintaining effective thermal management.",https://m.media-amazon.com/images/I/31QJHhhH3ZL._SL500_.jpg,"{'Nuevos': {'Cantidad': 4, 'Precio': '145.99 $.'}}"
https://pc-builds.com/es/parts/cooler/ymbRJ6/msi-mag-coreliquid-i240,MSI MAG CORELIQUID I240,"{'Altura': '62 mm', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '240 mm', 'Sin ventilador': 'No'}","The MSI MAG CORELIQUID I240 stands at a height of 62 mm, making it a compact yet efficient option for cooling systems. It features a 240 mm radiator length, which allows for enhanced heat dissipation, effectively managing temperatures during prolonged usage or high-performance tasks. This dimension, in combination with its height, positions it well for a variety of PC cases while maintaining sufficient airflow.",https://m.media-amazon.com/images/I/414rAi5T2nL._SL500_.jpg,"{'Nuevos': {'Cantidad': 37, 'Precio': '108.98 €.'}, 'Utilizados': {'Cantidad': 1, 'Precio': '142.63 €.'}}"
https://pc-builds.com/es/parts/cooler/CYxxW1/xilence-lq360,Xilence LQ360,"{'RPM máximas': '1,600', 'Ruido máximo': '35.2 dB', 'Altura': '47 mm', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '360 mm', 'Sin ventilador': 'No'}","The Xilence LQ360 features a water cooling system designed for efficient thermal management in high-performance PCs. It supports various socket types, including AM4, AM5, and multiple LGA versions, making it versatile for a range of CPU models. The radiator is a substantial 360 mm in length, allowing for effective heat dissipation through a larger surface area, which is beneficial for overclocking and maintaining optimal operating temperatures.",https://m.media-amazon.com/images/I/41gW5sqYfJL._SL500_.jpg,"{'Nuevos': {'Cantidad': 9, 'Precio': '78.35 €.'}}"
https://pc-builds.com/es/parts/cooler/7sL8eR/cooler-master-masterair-maker-8,Cooler Master MasterAir Maker 8,"{'RPM máximas': '1,800', 'Ruido máximo': '24 dB', 'Altura': '172 mm', 'Refrigerado por agua': 'No', 'Sin ventilador': 'No'}","The Cooler Master MasterAir Maker 8 features a minimum fan speed of 600 RPM and a maximum of 1,800 RPM, allowing for adaptive cooling performance under different workloads. Its noise levels range from a quiet 8 dB at lower speeds to a maximum of 24 dB under peak conditions, which is relatively unobtrusive in typical use cases. The cooler stands at a height of 172 mm, making it compatible with a variety of cases while ensuring sufficient airflow through its design.",https://m.media-amazon.com/images/I/51d6vejVxPL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '260.00 $.'}}"
https://pc-builds.com/es/parts/cooler/G9zXJ6/thermaltake-toughliquid-420-ex-pro-argb-sync,Thermaltake TOUGHLIQUID 420 EX Pro ARGB Sync,"{'RPM máximas': '2,000', 'Ruido máximo': '31.6 dB', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '420 mm', 'Sin ventilador': 'No'}","The Thermaltake TOUGHLIQUID 420 EX Pro ARGB Sync is a liquid cooling solution featuring a radiator length of 420 mm, designed for robust thermal management in high-performance systems. It operates with a minimum fan speed of 500 RPM and a maximum of 2,000 RPM, allowing for adaptive cooling based on workload requirements. Noise levels are consistent at 31.6 dB across different operational states, contributing to a relatively quiet environment during operation.",https://m.media-amazon.com/images/I/31rTNUGT3xL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '158.09 £.'}}"
https://pc-builds.com/es/parts/cooler/ZcgrNz/thermalright-frozen-prism-argb,Thermalright Frozen Prism ARGB,"{'RPM máximas': '1,850', 'Ruido máximo': '27 dB', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '240 mm', 'Sin ventilador': 'No'}","The Thermalright Frozen Prism ARGB operates at a consistent RPM of 1,850, ensuring steady performance for optimal cooling. It generates a minimum and maximum noise level of 27 dB, making it relatively quiet among cooling solutions, allowing for an undisturbed computing experience.",https://m.media-amazon.com/images/I/31jIU69MrZL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '72.26 €.'}}"
https://pc-builds.com/es/parts/cooler/NZCZNz/endorfy-spartan-5-max-argb,ENDORFY Spartan 5 MAX ARGB,"{'RPM máximas': '1,500', 'Altura': '146 mm', 'Refrigerado por agua': 'No', 'Sin ventilador': 'No'}","ENDORFY Spartan 5 MAX ARGB cooler has a minimum RPM of 250 and a maximum RPM of 1,500, which provides flexibility in cooling performance based on user requirements or system demands. The cooler stands at a height of 146 mm, making it compatible with a variety of cases and ensuring it fits in most standard builds without obstruction.",https://m.media-amazon.com/images/I/51nlc100vFL._SL500_.jpg,"{'Nuevos': {'Cantidad': 14, 'Precio': '25.08 €.'}}"
https://pc-builds.com/es/parts/cooler/WmchdT/kolink-umbra-void,KOLINK Umbra Void,"{'RPM máximas': '2,200', 'Ruido máximo': '30 dB', 'Altura': '48 mm', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '120 mm', 'Sin ventilador': 'No'}","The KOLINK Umbra Void features a constant rotational speed of 2,200 RPM, ensuring stable airflow while effectively dissipating heat. It operates at a consistent noise level of 30 dB, making it suitable for users who prioritize a quiet computing environment. With a height of 48 mm, it can fit into various cases, allowing for flexibility in system builds.",https://m.media-amazon.com/images/I/41T+Y2X+CLL._SL500_.jpg,"{'Nuevos': {'Cantidad': 5, 'Precio': '53.98 £.'}}"
https://pc-builds.com/es/parts/cooler/q2Dksn/lian-li-galahad-aio-360-rgb,Lian Li GALAHAD AIO 360 RGB,"{'RPM máximas': '1,900', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '360 mm', 'Sin ventilador': 'No'}","The Lian Li GALAHAD AIO 360 RGB is a liquid CPU cooler featuring a 360 mm radiator that supports a wide range of socket types, including AM4, AM5, and several Intel LGA configurations. This enhances its compatibility with various builds, making it a versatile option for users looking to improve their cooling performance.",https://m.media-amazon.com/images/I/41zWbUZ4IQL._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '347.77 $.'}}"
https://pc-builds.com/es/parts/cooler/CkRwHP/enermax-liqmaxflo-240,Enermax LIQMAXFLO 240,"{'RPM máximas': '1,800', 'Ruido máximo': '23.46 dB', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '240 mm', 'Sin ventilador': 'No'}","The Enermax LIQMAXFLO 240 cooler is designed for efficient water cooling with a radiator length of 240 mm, making it suitable for a variety of computer builds. It operates between a minimum RPM of 500 and a maximum RPM of 1,800, allowing for versatile cooling performance depending on system demands. This range ensures adequate airflow and thermal management for high-performance components.",https://m.media-amazon.com/images/I/31EMYYzT7DL._SL500_.jpg,"{'Nuevos': {'Cantidad': 17, 'Precio': '67.47 €.'}}"
https://pc-builds.com/es/parts/cooler/VPZQPG/nzxt-kraken-x40,NZXT Kraken X40,"{'RPM máximas': '2,000', 'Ruido máximo': '37 dB', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '140 mm', 'Sin ventilador': 'No'}","The NZXT Kraken X40 features a cooling system with a minimum RPM of 800 and a maximum RPM of 2,000, providing flexibility in terms of cooling performance and noise management. Operating noise levels range from a minimum of 21 dB to a maximum of 37 dB, ensuring relatively quiet operation while under load. Its design allows for efficient cooling during intensive tasks while keeping overall noise within an acceptable range for most users.",https://m.media-amazon.com/images/I/41FelvjDsVL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '23.61 $.'}}"
https://pc-builds.com/es/parts/cooler/shNyFo/noctua-nh-d15-se-am4,Noctua NH-D15 SE-AM4,"{'RPM máximas': '1,500', 'Ruido máximo': '24.6 dB', 'Altura': '165 mm', 'Refrigerado por agua': 'No', 'Sin ventilador': 'No'}","The Noctua NH-D15 SE-AM4 is a high-performance air cooler designed primarily for AMD's AM4 socket but also compatible with various Intel sockets including LGA1150, LGA1151, and LGA1700 among others. Its dimensions, with a height of 165 mm, make it a substantial cooler, which may require careful case selection to ensure sufficient clearance.",https://m.media-amazon.com/images/I/51ls8fys+pL._SL500_.jpg,"{'Nuevos': {'Cantidad': 4, 'Precio': '109.90 €.'}}"
https://pc-builds.com/es/parts/cooler/yrRwHP/phanteks-glacier-one-240d30,Phanteks GLACIER ONE 240D30,"{'RPM máximas': '2,000', 'Ruido máximo': '30.2 dB', 'Altura': '51 mm', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '240 mm', 'Sin ventilador': 'No'}","The Phanteks GLACIER ONE 240D30 includes fans that operate at a minimum of 250 RPM and can reach up to 2,000 RPM, offering a broad range of cooling capabilities. The fan noise remains constant at 30.2 dB, indicating that it operates quietly even at maximum performance. Its height of 51 mm allows it to fit in a variety of cases while still providing robust cooling performance.",https://m.media-amazon.com/images/I/31Gc24Oh-0L._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '133.72 €.'}}"
https://pc-builds.com/es/parts/cooler/XNF4ol/enermax-liqtech-tr4-ii-240,Enermax Liqtech TR4 II 240,"{'RPM máximas': '2,300', 'Ruido máximo': '28 dB', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '240 mm', 'Sin ventilador': 'No'}","The Enermax Liqtech TR4 II 240 cooler features a water cooling design, specifically built to support various socket types, including LGA1700, sTR4, and sTRX4. It has a radiator length of 240 mm, optimizing heat dissipation through a compact form factor suitable for various build configurations.",https://m.media-amazon.com/images/I/41tt87Dy8fL._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '99.90 £.'}}"
https://pc-builds.com/es/parts/cooler/jZZaa4/id-cooling-zoomflow-x,ID-COOLING ZOOMFLOW X,"{'RPM máximas': '1,500', 'Ruido máximo': '26.4 dB', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '240 mm', 'Sin ventilador': 'No'}","The ID-COOLING ZOOMFLOW X is a water-cooling solution equipped with a radiator length of 240 mm, suitable for a wide variety of socket types, including both AMD and Intel platforms. It supports sockets from the AM2 through AM5 series, as well as multiple LGA socket types up to LGA1700, making it a versatile choice for various builds. This compatibility ensures that it can be integrated into a broad range of systems seamlessly.",https://m.media-amazon.com/images/I/31m6m7hYeML._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '21.84 $.'}}"
https://pc-builds.com/es/parts/cooler/4qGksn/zalman-fx100,Zalman FX100,"{'Ruido máximo': '0 dB', 'Altura': '157 mm', 'Refrigerado por agua': 'No', 'Sin ventilador': 'Sí'}","The Zalman FX100 is a unique cooler designed primarily for silent operation. With a minimum and maximum noise level of 0 dB, it offers an entirely fanless cooling solution, making it suitable for environments where quiet operation is paramount. This characteristic is particularly beneficial for users who prioritize tranquility over performance noise.",https://m.media-amazon.com/images/I/51PW7V4+2YL._SL500_.jpg,"{'Nuevos': {'Cantidad': 4, 'Precio': '55.75 €.'}}"
https://pc-builds.com/es/parts/cooler/hQfxW1/lian-li-galahad-ii-trinity-sl-inf,Lian Li Galahad II Trinity SL-INF,"{'RPM máximas': '2,100', 'Ruido máximo': '29 dB', 'Altura': '69 mm', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '360 mm', 'Sin ventilador': 'No'}","The Lian Li Galahad II Trinity SL-INF is engineered for optimal cooling performance, featuring a fixed minimum and maximum RPM of 2,100, allowing for consistent airflow during operation. The cooler maintains a minimum and maximum noise level of 29 dB, which indicates moderate noise generation, making it suitable for users who value a quieter workstation or gaming environment.",https://m.media-amazon.com/images/I/41m1Md4dPEL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '667.88 €.'}}"
https://pc-builds.com/es/parts/cooler/pcM4ol/msi-mag-coreliquid-r,MSI MAG CORELIQUID R,"{'RPM máximas': '1,800', 'Ruido máximo': '33.28 dB', 'Refrigerado por agua': 'Sí', 'Longitud del radiador': '280 mm', 'Sin ventilador': 'No'}","The MSI MAG CORELIQUID R provides a minimum RPM of 500 and a maximum RPM of 1,800, allowing for a range of cooling effectiveness and noise levels, which vary from a minimum of 14.8 dB to a maximum of 33.28 dB. This variability enables users to balance between sound level and cooling performance based on their specific needs or preferences.",https://m.media-amazon.com/images/I/41VDWDVY6-S._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '200.47 €.'}, 'Utilizados': {'Cantidad': 37, 'Precio': '37.40 €.'}}"
