URL,Nombre,Características,Descripción,Imagen,Precios
https://pc-builds.com/es/parts/graphic-card/8Kfi5e/msi-aero-itx-6gb-geforce-gtx-1660-ti,MSI AERO ITX  6GB GeForce GTX 1660 Ti,"{'Memoria': '6 GB', 'Tipo de memoria': 'GDDR6', 'Reloj de núcleo': '1500 MHz', 'Reloj de impulso': '1770 MHz', 'Reloj de memoria eficaz': '12000 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'G-Sync', 'Longitud': '178 mm', 'TDP': '120 W', 'PCIe de 8 pines': '1', 'Puertos': 'DisplayPort x1, DVI-D Dual Link x1, HDMI x1'}","The MSI AERO ITX 6GB GeForce GTX 1660 Ti features a robust 6 GB of GDDR6 memory, allowing for efficient handling of modern gaming applications. Powered by the GeForce GTX 1660 Ti chipset, this graphic card operates with a core clock of 1500 MHz and a boost clock reaching up to 1770 MHz, ensuring optimal performance in various graphic-intensive tasks. The effective memory clock speed is an impressive 12000 MHz.",https://m.media-amazon.com/images/I/419u4y+8SzL._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '32.37 $.'}}"
https://pc-builds.com/es/parts/graphic-card/sHRhdT/msi-radeon-rx-5500-xt-mech-8g-8gb,MSI Radeon RX 5500 XT MECH 8G  8GB,"{'Memoria': '8 GB', 'Tipo de memoria': 'GDDR6', 'Reloj de núcleo': '1607 MHz', 'Reloj de impulso': '1845 MHz', 'Reloj de memoria eficaz': '14000 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'FreeSync', 'Longitud': '215 mm', 'TDP': '140 W', 'PCIe de 8 pines': '1', 'Puertos': 'DisplayPort x3, HDMI x1'}","The MSI Radeon RX 5500 XT MECH 8G features a robust 8 GB GDDR6 memory, which ensures efficient performance for gaming and graphic-intensive tasks. Powered by the Radeon RX 5500 XT chipset, it operates with a core clock of 1607 MHz and can boost up to 1845 MHz, providing ample speed for demanding applications. With an effective memory clock of 14000 MHz and a PCIe x16 interface, this graphics card enables high data transfer rates, beneficial for modern gaming experiences.",https://images.pc-builds.com/images/components/9ccaebd5c398391d6f5fc5bcfb273ff2/bfad328074ffcdf48d8abf0b3b02073a/db4a3516a670071f2fa6fcab81c01996.png,N/A
https://pc-builds.com/es/parts/graphic-card/H43NDY/asus-proart-oc-12gb-geforce-rtx-4070-super,Asus ProArt OC  12GB GeForce RTX 4070 SUPER,"{'Memoria': '12 GB', 'Tipo de memoria': 'GDDR6X', 'Reloj de núcleo': '1980 MHz', 'Reloj de impulso': '2565 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'G-Sync', 'Longitud': '300 mm', 'TDP': '220 W', 'Puertos': 'DisplayPort 1.4a x3, HDMI 2.1a x1'}","The Asus ProArt OC 12GB GeForce RTX 4070 SUPER is a high-performance graphic card designed for creators and gamers alike. It features 12 GB of GDDR6X memory, providing ample bandwidth for demanding applications and high-resolution gaming. The card is powered by the GeForce RTX 4070 SUPER chipset, which is a key component in delivering enhanced graphical performance and rendering capabilities.",https://images.pc-builds.com/images/components/9ccaebd5c398391d6f5fc5bcfb273ff2/45d9cda04b2cd3cae984e1d1ca7fd90a/db4a3516a670071f2fa6fcab81c01996.png,N/A
https://pc-builds.com/es/parts/graphic-card/4CH3ib/evga-02g-p4-2663-kr-2gb-geforce-gtx-660,EVGA 02G-P4-2663-KR  2GB GeForce GTX 660,"{'Memoria': '2 GB', 'Tipo de memoria': 'GDDR5', 'Reloj de núcleo': '1072 MHz', 'Reloj de memoria eficaz': '6008 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'G-Sync', 'Longitud': '241 mm', 'TDP': '140 W', 'Puertos': 'DisplayPort x1, DVI-I Dual Link x2, HDMI x1'}","The EVGA 02G-P4-2663-KR is equipped with a 2 GB memory capacity, which allows for decent performance in various gaming and graphic applications. The graphics card features the GeForce GTX 660 chipset, ensuring a solid foundation for rendering graphics with efficiency. It utilizes GDDR5 memory type, contributing to higher data transfer speeds, and operates with a core clock of 1072 MHz alongside an effective memory clock of 6008 MHz.",https://m.media-amazon.com/images/I/51Eh8s9ewjL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '299.00 $.'}}"
https://pc-builds.com/es/parts/graphic-card/MBvdDY/msi-suprim-x-12gb-geforce-rtx-3080-ti,MSI SUPRIM X  12GB GeForce RTX 3080 Ti,"{'Memoria': '12 GB', 'Tipo de memoria': 'GDDR6X', 'Reloj de núcleo': '1365 MHz', 'Reloj de impulso': '1845 MHz', 'Reloj de memoria eficaz': '19000 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'G-Sync', 'Longitud': '336 mm', 'TDP': '400 W', 'PCIe de 8 pines': '3', 'Puertos': 'DisplayPort x3, HDMI x1'}","The MSI SUPRIM X 12GB GeForce RTX 3080 Ti features a robust 12 GB of GDDR6X memory, which enhances its ability to handle high-resolution gaming and demanding applications. Powered by the GeForce RTX 3080 Ti chipset, it offers a core clock of 1365 MHz and a boost clock reaching up to 1845 MHz. The effective memory clock can achieve speeds of 19000 MHz, ensuring efficient data processing for graphics-intensive tasks.",https://m.media-amazon.com/images/I/41op1gxSgVS._SL500_.jpg,"{'Utilizados': {'Cantidad': 1, 'Precio': '1499.99 €.'}}"
https://pc-builds.com/es/parts/graphic-card/dVxbJe/gigabyte-aorus-master-8gb-geforce-rtx-3070,Gigabyte AORUS MASTER  8GB GeForce RTX 3070,"{'Memoria': '8 GB', 'Tipo de memoria': 'GDDR6', 'Reloj de núcleo': '1500 MHz', 'Reloj de impulso': '1845 MHz', 'Reloj de memoria eficaz': '14000 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'G-Sync', 'Longitud': '290 mm', 'TDP': '220 W', 'PCIe de 8 pines': '2', 'Puertos': 'DisplayPort x3, HDMI x3'}","The Gigabyte AORUS MASTER 8GB GeForce RTX 3070 features a robust 8 GB GDDR6 memory, ensuring efficient performance in gaming and graphics applications. It is powered by the GeForce RTX 3070 chipset, which provides an optimal balance between power consumption and computational capabilities. The core clock operates at 1500 MHz and can boost up to 1845 MHz, with an effective memory clock speed of 14000 MHz, enhancing data processing speed and responsiveness.",https://m.media-amazon.com/images/I/412KfBr-p2L._SL500_.jpg,"{'Utilizados': {'Cantidad': 1, 'Precio': '599.99 $.'}, 'Nuevos': {'Cantidad': 1, 'Precio': '1336.34 $.'}}"
https://pc-builds.com/es/parts/graphic-card/LxkhdT/evga-sc-ultra-gaming-4gb-geforce-gtx-1650-g6,EVGA SC ULTRA GAMING  4GB GeForce GTX 1650 G6,"{'Memoria': '4 GB', 'Tipo de memoria': 'GDDR6', 'Reloj de núcleo': '1410 MHz', 'Reloj de impulso': '1710 MHz', 'Reloj de memoria eficaz': '12000 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'G-Sync', 'Longitud': '202 mm', 'TDP': '75 W', 'PCIe de 6 pines': '1', 'Puertos': 'DisplayPort x2, HDMI x1'}","The EVGA SC ULTRA GAMING 4GB GeForce GTX 1650 G6 features a memory capacity of 4 GB, utilizing the efficient GDDR6 memory type. It is powered by the GeForce GTX 1650 G6 chipset, with a base core clock speed of 1410 MHz that can be boosted up to 1710 MHz. The effective memory clock runs at a notable 12000 MHz, delivering good performance for moderate gaming and graphics applications. Its power consumption stands at 75 W, making it suitable for systems with limited power supply capabilities.",https://m.media-amazon.com/images/I/519f+H3LaKL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '788.31 €.'}, 'Utilizados': {'Cantidad': 1, 'Precio': '416.41 $.'}}"
https://pc-builds.com/es/parts/graphic-card/B9H8eR/powercolor-hellhound-8gb-radeon-rx-6650-xt,PowerColor Hellhound  8GB Radeon RX 6650 XT,"{'Memoria': '8 GB', 'Tipo de memoria': 'GDDR6', 'Reloj de núcleo': '2055 MHz', 'Reloj de impulso': '2689 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'FreeSync', 'Longitud': '220 mm', 'TDP': '180 W', 'PCIe de 8 pines': '1', 'Puertos': 'DisplayPort 1.4 x3, HDMI 2.1 x1'}","The PowerColor Hellhound 8GB Radeon RX 6650 XT features an 8 GB memory capacity, utilizing GDDR6 type which is well-suited for modern gaming and graphics applications. Its core clock operates at 2055 MHz, with the capability to boost up to 2689 MHz, offering enhanced performance under load. The card is powered through a PCIe x16 interface and requires a single PCIe 8-pin connector, indicating decent power efficiency with a Total Design Power (TDP) of 180 W.",https://m.media-amazon.com/images/I/41GCMcx3T7L._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '411.99 €.'}}"
https://pc-builds.com/es/parts/graphic-card/qJZaa4/msi-ventus-2x-oc-8gb-geforce-rtx-3050-8gb,MSI VENTUS 2X OC  8GB GeForce RTX 3050 8GB,"{'Memoria': '8 GB', 'Tipo de memoria': 'GDDR6', 'Reloj de núcleo': '1550 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'G-Sync', 'Longitud': '235 mm', 'TDP': '130 W', 'PCIe de 8 pines': '1', 'Puertos': 'DisplayPort x3, HDMI x1'}","The MSI VENTUS 2X OC 8GB GeForce RTX 3050 is equipped with 8 GB of GDDR6 memory, ensuring smooth performance for modern gaming and graphical applications. The core clock operates at 1550 MHz, providing adequate speed for processing demanding tasks. Its PCIe x16 interface allows for efficient communication with the motherboard, while the single PCIe 8-pin connector supports power requirements effectively, reflected in a thermal design power (TDP) of 130 W.",https://m.media-amazon.com/images/I/511fFEJQ5xL._SL500_.jpg,"{'Nuevos': {'Cantidad': 3, 'Precio': '313.12 €.'}, 'Utilizados': {'Cantidad': 1, 'Precio': '299.50 €.'}}"
https://pc-builds.com/es/parts/graphic-card/8d4Ysn/gigabyte-windforce-oc-12gb-geforce-rtx-3060-12gb,Gigabyte WINDFORCE OC  12GB GeForce RTX 3060 12GB,"{'Memoria': '12 GB', 'Tipo de memoria': 'GDDR6', 'Reloj de núcleo': '1320 MHz', 'Reloj de impulso': '1792 MHz', 'Reloj de memoria eficaz': '15000 MHz', 'Interfaz': 'PCIe x16', 'Sincronización de fotogramas': 'G-Sync', 'Longitud': '198 mm', 'TDP': '170 W', 'PCIe de 8 pines': '1', 'Puertos': 'DisplayPort 1.4a x2, HDMI 2.1 x2'}","The Gigabyte WINDFORCE OC 12GB GeForce RTX 3060 12GB features a robust 12 GB of GDDR6 memory, offering ample capacity for demanding gaming and content creation tasks. The graphics card is built on the GeForce RTX 3060 chipset, providing the necessary architecture to handle modern VR, ray tracing, and AI-enhanced gaming. With a base core clock of 1320 MHz and a boost clock of up to 1792 MHz, it delivers solid performance efficiency. The effective memory clock speed of 15000 MHz ensures high bandwidth for data-intensive applications.",https://m.media-amazon.com/images/I/41iMJH0EHKL._SL500_.jpg,"{'Nuevos': {'Cantidad': 42, 'Precio': '314.90 €.'}}"
