URL,Nombre,Características,Descripción,Imagen,Precios
https://pc-builds.com/es/parts/memory/TK272x/lexar-thor-16-gb-2x-8gb-3600mhz-ddr4-c18,Lexar THOR 16 GB (2x 8GB)  3600MHz DDR4 C18,"{'Tipo de memoria': 'DIMM', 'Configuración': '2x 8 GB', 'Velocidad': '3600 MHz DDR4', 'Voltaje': '1.35V', 'Latencia CAS': 'C18', 'Refrigeración pasiva': 'Sí'}","The Lexar THOR 16 GB memory kit features a Dual Inline Memory Module (DIMM) configuration consisting of two 8 GB sticks, collectively providing 16 GB of memory capacity. It operates at a high speed of 3600 MHz, which is conducive for gaming and multimedia applications, ensuring that the system can handle demanding tasks efficiently. The DDR4 standard ensures compatibility with most modern motherboards, while a voltage requirement of 1.35V supports energy efficiency without sacrificing performance.",https://m.media-amazon.com/images/I/41K7E+WPqKL._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '48.49 €.'}, 'Utilizados': {'Cantidad': 9, 'Precio': '39.35 €.'}}"
https://pc-builds.com/es/parts/memory/6J7MDY/patriot-viper-venom-rgb-32-gb-1x-32gb-6000mhz-ddr5-c30,Patriot Viper Venom RGB 32 GB (1x 32GB)  6000MHz DDR5 C30,"{'Tipo de memoria': 'DIMM', 'Configuración': '1x 32 GB', 'Velocidad': '6000 MHz DDR5', 'Voltaje': '1.35V', 'Latencia CAS': 'C30', 'Refrigeración pasiva': 'Sí'}","The Patriot Viper Venom RGB is a high-performance memory module designed for demanding applications, featuring a single 32 GB DIMM configuration. Operating at an impressive speed of 6000 MHz with DDR5 technology, it provides a significant bandwidth advantage over previous generations. The module runs at a voltage of 1.35V, which is typical for DDR5 memory, ensuring efficiency and stability during operation.",https://m.media-amazon.com/images/I/31BHNLSo1zL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '97.99 €.'}}"
https://pc-builds.com/es/parts/memory/8BmxW1/samsung-m386a4g40dm0-cpb-32-gb-1x-32gb-2133mhz-ddr4-c15,Samsung M386A4G40DM0-CPB 32 GB (1x 32GB)  2133MHz DDR4 C15,"{'Tipo de memoria': 'DIMM', 'Configuración': '1x 32 GB', 'Velocidad': '2133 MHz DDR4', 'Voltaje': '1.2V', 'Latencia CAS': 'C15', 'Refrigeración pasiva': 'No'}","The Samsung M386A4G40DM0-CPB is a 32 GB DDR4 memory module designed in a DIMM form factor. With a single configuration (1x 32 GB), it offers a memory speed of 2133 MHz, which is suitable for a range of applications, though it may not be the fastest option available in the market. Operating at a voltage of 1.2V, it is energy-efficient, contributing to lower power consumption.",https://m.media-amazon.com/images/I/41BFBEH+tsL._SL500_.jpg,"{'Nuevos': {'Cantidad': 3, 'Precio': '70.10 $.'}, 'Utilizados': {'Cantidad': 2, 'Precio': '65.08 $.'}}"
https://pc-builds.com/es/parts/memory/6XmFvf/corsair-vengeance-rgb-pro-sl-32-gb-4x-8gb-3600mhz-ddr4-c18,Corsair Vengeance RGB Pro SL 32 GB (4x 8GB)  3600MHz DDR4 C18,"{'Tipo de memoria': 'DIMM', 'Configuración': '4x 8 GB', 'Velocidad': '3600 MHz DDR4', 'Voltaje': '1.35V', 'Latencia CAS': 'C18', 'Refrigeración pasiva': 'Sí'}","The Corsair Vengeance RGB Pro SL is a high-performance memory module designed for gaming and intensive computing tasks. It features a DIMM memory type configuration with four 8 GB sticks, totaling 32 GB of capacity. The memory operates at a speed of 3600 MHz DDR4, ensuring rapid data processing and efficient multitasking. It requires a voltage of 1.35V, making it suitable for modern motherboards and systems.",https://m.media-amazon.com/images/I/41zWycvVg7L._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '112.99 $.'}}"
https://pc-builds.com/es/parts/memory/Kk4hdT/crucial-ct2g3s1067m-2-gb-1x-2gb-1066mhz-ddr3-c7,Crucial CT2G3S1067M 2 GB (1x 2GB)  1066MHz DDR3 C7,"{'Tipo de memoria': 'SODIMM', 'Configuración': '1x 2 GB', 'Velocidad': '1066 MHz DDR3', 'Voltaje': '1.5V', 'Latencia CAS': 'C7', 'Refrigeración pasiva': 'No'}","The Crucial CT2G3S1067M is a 2 GB SODIMM memory module designed for compact systems, featuring a single configuration of 1x 2 GB. Operating at a speed of 1066 MHz DDR3, this module is suitable for older laptops and systems that require efficient memory performance without the need for high frequencies. With a voltage of 1.5V, it provides a balance between power consumption and performance.",https://m.media-amazon.com/images/I/51OtK0L0wLL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '60.55 $.'}}"
https://pc-builds.com/es/parts/memory/hB6pph/kingston-fury-beast-8-gb-1x-8gb-4800mhz-ddr5-c38,Kingston FURY Beast 8 GB (1x 8GB)  4800MHz DDR5 C38,"{'Tipo de memoria': 'DIMM', 'Configuración': '1x 8 GB', 'Velocidad': '4800 MHz DDR5', 'Voltaje': '1.1V', 'Latencia CAS': 'C38', 'Refrigeración pasiva': 'Sí'}","The Kingston FURY Beast 8 GB (1x 8GB) is a DIMM memory module designed for high performance, boasting a speed of 4800 MHz DDR5. This advanced speed significantly enhances data transfer rates, making it suitable for demanding applications and gaming environments. Operating at a voltage of 1.1V, it ensures efficient power consumption, which can contribute to overall system stability and longevity.",https://images.pc-builds.com/images/components/324786475460478dc5f1fb2f04da756d/2a17d6ab70fbe7af25e7dd60b70ed004/db4a3516a670071f2fa6fcab81c01996.png,N/A
https://pc-builds.com/es/parts/memory/M6jRJ6/lexar-ld4as016g-r3200gsst-16-gb-1x-16gb-3200mhz-ddr4-c22,Lexar LD4AS016G-R3200GSST 16 GB (1x 16GB)  3200MHz DDR4 C22,"{'Tipo de memoria': 'SODIMM', 'Configuración': '1x 16 GB', 'Velocidad': '3200 MHz DDR4', 'Voltaje': '1.2V', 'Latencia CAS': 'C22', 'Refrigeración pasiva': 'No'}","The Lexar LD4AS016G-R3200GSST is a 16 GB SODIMM DDR4 memory module designed for laptops and compact PCs. Its configuration consists of a single 16 GB stick, which makes it suitable for systems with limited slots, allowing users to maximize capacity without the need for additional sticks. With a speed of 3200 MHz, it ensures efficient data transmission and responsiveness, which is particularly beneficial for multitasking and running memory-intensive applications.",https://m.media-amazon.com/images/I/31oxL48DW6L._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '86.45 €.'}}"
https://pc-builds.com/es/parts/memory/DYBGjK/kingston-fury-beast-64-gb-2x-32gb-3600mhz-ddr4-c18,Kingston FURY Beast 64 GB (2x 32GB)  3600MHz DDR4 C18,"{'Tipo de memoria': 'DIMM', 'Configuración': '2x 32 GB', 'Velocidad': '3600 MHz DDR4', 'Voltaje': '1.35V', 'Latencia CAS': 'C18', 'Refrigeración pasiva': 'Sí'}","The Kingston FURY Beast 64 GB memory kit consists of two 32 GB DIMM modules, designed to provide high-capacity memory suitable for demanding applications and multitasking. Operating at a speed of 3600 MHz DDR4, it offers enhanced performance for gaming, content creation, and other memory-intensive tasks. The modules operate at a voltage of 1.35V, which allows for efficient power consumption while maintaining high performance.",https://m.media-amazon.com/images/I/41XJ679agFL._SL500_.jpg,"{'Nuevos': {'Cantidad': 36, 'Precio': '146.39 €.'}, 'Utilizados': {'Cantidad': 4, 'Precio': '140.15 €.'}}"
https://pc-builds.com/es/parts/memory/vnQwHP/corsair-vengeance-32-gb-2x-16gb-6400mhz-ddr5-c32,Corsair Vengeance 32 GB (2x 16GB)  6400MHz DDR5 C32,"{'Tipo de memoria': 'DIMM', 'Configuración': '2x 16 GB', 'Velocidad': '6400 MHz DDR5', 'Voltaje': '1.4V', 'Latencia CAS': 'C32', 'Refrigeración pasiva': 'Sí'}","The Corsair Vengeance 32 GB (2x 16GB) 6400MHz DDR5 C32 is built with DIMM memory type, featuring a dual-channel configuration which optimizes memory bandwidth. Operating at a high speed of 6400 MHz DDR5, it is designed for modern motherboards that support the latest standards. The module's operating voltage is set at 1.4V, striking a balance between performance and power efficiency.",https://m.media-amazon.com/images/I/310jEGnm7yL._SL500_.jpg,"{'Nuevos': {'Cantidad': 17, 'Precio': '119.99 €.'}}"
https://pc-builds.com/es/parts/memory/rgBi5e/g-skill-aegis-64-gb-4x-16gb-3200mhz-ddr4-c16,G.Skill Aegis 64 GB (4x 16GB)  3200MHz DDR4 C16,"{'Tipo de memoria': 'DIMM', 'Configuración': '4x 16 GB', 'Velocidad': '3200 MHz DDR4', 'Voltaje': '1.35V', 'Latencia CAS': 'C16', 'Refrigeración pasiva': 'No'}","The G.Skill Aegis 64 GB (4x 16GB) 3200MHz DDR4 C16 RAM is a DIMM memory type that provides a robust configuration with four 16 GB modules. It operates at a speed of 3200 MHz, which is suitable for gaming and demanding applications, delivering a balance between performance and capacity. The operating voltage is set at 1.35V, optimizing energy consumption while maintaining stability.",https://m.media-amazon.com/images/I/41wl2kZ9CfL._SL500_.jpg,"{'Nuevos': {'Cantidad': 7, 'Precio': '129.21 €.'}}"
