URL,Nombre,Características,Descripción,Imagen,Precios
https://pc-builds.com/es/parts/motherboard/gMPfHP/asus-rampage-v-extreme-lga2011-3-eatx,Asus RAMPAGE V EXTREME LGA2011-3 EATX,"{'Enchufe': 'LGA2011-3', 'Factor de forma': 'EATX', 'Conjunto de chips': 'Intel X99', 'Tipo de memoria': 'DDR4', 'RAM máxima': '64 GB', 'Ranuras de RAM': '8', 'Ranuras M.2': '1', 'Puertos Ethernet': '1000 Mbps x1', 'Redes inalámbricas': 'Wi-Fi 5', 'Soporte de GPU integrado': 'No'}","The Asus RAMPAGE V EXTREME is an EATX motherboard designed for the LGA2011-3 socket, utilizing the Intel X99 chipset. It supports DDR4 memory, accommodating a maximum of 64 GB across eight RAM slots, with support for various RAM speeds ranging from 2133 MHz up to 3300 MHz. The motherboard also includes five PCIe x16 slots, one PCIe x1 slot, and provides the capability for CrossFire graphics configuration and supports up to four GPUs in SLI.",https://m.media-amazon.com/images/I/51+5XLVgcyL._SL500_.jpg,"{'Utilizados': {'Cantidad': 1, 'Precio': '449.99 €.'}}"
https://pc-builds.com/es/parts/motherboard/GcJwHP/biostar-b75mu3b-lga1155-micro-atx,Biostar B75MU3B LGA1155 Micro ATX,"{'Enchufe': 'LGA1155', 'Factor de forma': 'Micro ATX', 'Conjunto de chips': 'Intel B75', 'Tipo de memoria': 'DDR3', 'RAM máxima': '16 GB', 'Ranuras de RAM': '2', 'Puertos Ethernet': '1000 Mbps x1', 'Redes inalámbricas': 'None', 'Soporte de GPU integrado': 'Sí'}","The Biostar B75MU3B LGA1155 Micro ATX motherboard features an LGA1155 socket designed to support Intel processors, specifically utilizing the Intel B75 chipset. With a Micro ATX form factor, this motherboard fits in smaller cases while still providing essential connectivity options. It is limited to two RAM slots with a maximum capacity of 16 GB, supporting DDR3 memory speeds of 1066 MHz, 1333 MHz, and 1600 MHz, which suits basic computing needs but may not satisfy demanding gaming or professional applications.",https://m.media-amazon.com/images/I/51-TxFxjGUL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '104.77 €.'}}"
https://pc-builds.com/es/parts/motherboard/jMPQPG/asus-prime-h510m-f-lga1200-micro-atx,Asus PRIME-H510M-F LGA1200 Micro ATX,"{'Enchufe': 'LGA1200', 'Factor de forma': 'Micro ATX', 'Conjunto de chips': 'Intel H510', 'Tipo de memoria': 'DDR4', 'RAM máxima': '64 GB', 'Ranuras de RAM': '2', 'Puertos Ethernet': '1000 Mbps x1', 'Redes inalámbricas': 'None', 'Soporte de GPU integrado': 'Sí'}","The Asus PRIME-H510M-F is a Micro ATX motherboard designed for Intel's LGA1200 socket, compatible with a range of Intel processors. It utilizes the Intel H510 chipset and supports DDR4 memory with a maximum capacity of 64 GB across two RAM slots. The motherboard can accommodate various RAM speeds from 2133 MHz to 3200 MHz, ensuring flexibility for different performance needs.",https://m.media-amazon.com/images/I/41uP7KaHr4L._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '280.58 €.'}}"
https://pc-builds.com/es/parts/motherboard/Khy9a4/asus-rog-strix-b860-g-gaming-wifi-lga1851-micro-atx,Asus ROG STRIX B860-G GAMING WIFI LGA1851 Micro ATX,"{'Enchufe': 'LGA1851', 'Factor de forma': 'Micro ATX', 'Conjunto de chips': 'Intel B860', 'Tipo de memoria': 'DDR5', 'RAM máxima': '256 GB', 'Ranuras de RAM': '4', 'Ranuras M.2': '4', 'Puertos Ethernet': '2500 Mbps x1', 'Redes inalámbricas': 'Wi-Fi 7', 'Soporte de GPU integrado': 'Sí'}","The Asus ROG STRIX B860-G GAMING WIFI is a Micro ATX motherboard designed to support the LGA1851 socket and Intel B860 chipset, making it suitable for a variety of Intel processors. It accommodates DDR5 memory with a maximum capacity of 256 GB across four RAM slots, supporting memory speeds ranging from 4800 MHz up to 9066 MHz, allowing for high-performance computing tasks.",https://m.media-amazon.com/images/I/41NFJCr+ptL._SL500_.jpg,"{'Nuevos': {'Cantidad': 43, 'Precio': '249.00 €.'}}"
https://pc-builds.com/es/parts/motherboard/rj8ZNz/asrock-x99-extreme6-lga2011-3-atx,ASRock X99 Extreme6 LGA2011-3 ATX,"{'Enchufe': 'LGA2011-3', 'Factor de forma': 'ATX', 'Conjunto de chips': 'Intel X99', 'Tipo de memoria': 'DDR4', 'RAM máxima': '128 GB', 'Ranuras de RAM': '8', 'Ranuras M.2': '1', 'Puertos Ethernet': '1000 Mbps x2', 'Redes inalámbricas': 'None', 'Soporte de GPU integrado': 'No'}","The ASRock X99 Extreme6 motherboard features an LGA2011-3 socket and follows the ATX form factor, making it suitable for high-performance builds. It is equipped with the Intel X99 chipset, which supports DDR4 memory type, accommodating a maximum RAM capacity of 128 GB across 8 slots. The motherboard supports a wide range of RAM speeds, from 1600 MHz up to 3000 MHz, allowing for flexible performance tuning. It also has capabilities for both CrossFire and SLI, supporting a maximum of three GPUs, enhancing its suitability for gaming and intensive graphical applications.",https://m.media-amazon.com/images/I/61aIXTD7v1L._SL500_.jpg,"{'Utilizados': {'Cantidad': 1, 'Precio': '344.55 $.'}}"
https://pc-builds.com/es/parts/motherboard/Rmbpph/asrock-z87-extreme3-lga1150-atx,ASRock Z87 Extreme3 LGA1150 ATX,"{'Enchufe': 'LGA1150', 'Factor de forma': 'ATX', 'Conjunto de chips': 'Intel Z87', 'Tipo de memoria': 'DDR3', 'RAM máxima': '32 GB', 'Ranuras de RAM': '4', 'Puertos Ethernet': '1000 Mbps x1', 'Redes inalámbricas': 'None', 'Soporte de GPU integrado': 'Sí'}","The ASRock Z87 Extreme3 is an ATX motherboard featuring an LGA1150 socket, primarily compatible with Intel's Z87 chipset. This model supports up to 32GB of DDR3 RAM across four slots, accommodating various memory speeds ranging from 1066 MHz to a maximum of 2800 MHz. With capabilities for both AMD CrossFire and NVIDIA SLI configurations, it can manage up to two GPUs for enhanced graphics performance.",https://m.media-amazon.com/images/I/51kwcl1meiL._SL500_.jpg,"{'Utilizados': {'Cantidad': 1, 'Precio': '99.00 $.'}, 'Nuevos': {'Cantidad': 1, 'Precio': '201.00 $.'}}"
https://pc-builds.com/es/parts/motherboard/bbnaa4/gigabyte-z890-aero-d-lga1851-eatx,Gigabyte Z890 AERO D LGA1851 EATX,"{'Enchufe': 'LGA1851', 'Factor de forma': 'EATX', 'Conjunto de chips': 'Intel Z890', 'Tipo de memoria': 'DDR5', 'RAM máxima': '256 GB', 'Ranuras de RAM': '4', 'Ranuras M.2': '4', 'Puertos Ethernet': '10000 Mbps x2', 'Redes inalámbricas': 'Wi-Fi 7', 'Soporte de GPU integrado': 'Sí'}","The Gigabyte Z890 AERO D LGA1851 EATX motherboard features the LGA1851 socket and supports the Intel Z890 chipset, making it suitable for high-performance Intel processors. It adheres to the EATX form factor, providing ample space for a variety of components. This motherboard supports DDR5 memory with a maximum capacity of 256 GB and offers four RAM slots capable of handling an extensive range of memory speeds up to 9500 MHz, ensuring versatility and performance in memory-intensive applications.",https://m.media-amazon.com/images/I/41DkXRWPLOL._SL500_.jpg,"{'Nuevos': {'Cantidad': 3, 'Precio': '828.00 €.'}}"
https://pc-builds.com/es/parts/motherboard/VP6NDY/biostar-b760mx2-e-lga1700-micro-atx,Biostar B760MX2-E LGA1700 Micro ATX,"{'Enchufe': 'LGA1700', 'Factor de forma': 'Micro ATX', 'Conjunto de chips': 'Intel B760', 'Tipo de memoria': 'DDR5', 'RAM máxima': '64 GB', 'Ranuras de RAM': '2', 'Ranuras M.2': '2', 'Puertos Ethernet': '2500 Mbps x1', 'Redes inalámbricas': 'None', 'Soporte de GPU integrado': 'Sí'}","The Biostar B760MX2-E LGA1700 Micro ATX motherboard utilizes the LGA1700 socket and is built on the Intel B760 chipset. It features a Micro ATX form factor, making it suitable for compact build designs. This motherboard supports DDR5 memory with a maximum capacity of 64 GB across two slots, accommodating various RAM speeds from 4800 MHz to 6000 MHz. The board includes two M.2 slots for high-speed storage and one PCIe x16 slot for additional graphics or expansion cards, along with one PCIe x1 slot for peripheral add-ons.",https://m.media-amazon.com/images/I/41ShUInvZbL._SL500_.jpg,"{'Nuevos': {'Cantidad': 4, 'Precio': '159.85 €.'}}"
https://pc-builds.com/es/parts/motherboard/gpH4ol/msi-z170a-gaming-pro-carbon-lga1151-atx,MSI Z170A GAMING PRO CARBON LGA1151 ATX,"{'Enchufe': 'LGA1151', 'Factor de forma': 'ATX', 'Conjunto de chips': 'Intel Z170', 'Tipo de memoria': 'DDR4', 'RAM máxima': '64 GB', 'Ranuras de RAM': '4', 'Ranuras M.2': '1', 'Puertos Ethernet': '1000 Mbps x1', 'Redes inalámbricas': 'None', 'Soporte de GPU integrado': 'Sí'}","The MSI Z170A Gaming Pro Carbon motherboard features the LGA1151 socket and is designed in an ATX form factor, optimizing it for a range of builds. It utilizes the Intel Z170 chipset, which is compatible with DDR4 memory and supports a maximum RAM capacity of 64 GB across four RAM slots. Users can select from a range of RAM speeds including 2133 MHz to 3600 MHz, providing flexibility for various performance needs. The board supports both CrossFire and SLI configurations, allowing for dual GPU setups.",https://m.media-amazon.com/images/I/51P9TWs2t3L._SL500_.jpg,"{'Utilizados': {'Cantidad': 2, 'Precio': '189.00 $.'}, 'Nuevos': {'Cantidad': 1, 'Precio': '196.99 $.'}}"
https://pc-builds.com/es/parts/motherboard/LYM4ol/asus-rog-maximus-z790-hero-lga1700-atx,Asus ROG MAXIMUS Z790 HERO LGA1700 ATX,"{'Enchufe': 'LGA1700', 'Factor de forma': 'ATX', 'Conjunto de chips': 'Intel Z790', 'Tipo de memoria': 'DDR5', 'RAM máxima': '192 GB', 'Ranuras de RAM': '4', 'Ranuras M.2': '3', 'Puertos Ethernet': '2500 Mbps x1', 'Redes inalámbricas': 'Wi-Fi 6E', 'Soporte de GPU integrado': 'Sí'}","The Asus ROG MAXIMUS Z790 HERO is a high-end motherboard designed for Intel processors, featuring the LGA1700 socket and built on the ATX form factor. It utilizes the Intel Z790 chipset, enabling optimal performance for gaming and professional tasks. Supporting up to 192 GB of DDR5 RAM across four slots, this motherboard accommodates a wide range of memory speeds from 4800 MHz to an impressive 7800 MHz. Additionally, it is equipped with three M.2 slots and six SATA 6.0 Gb/s ports, allowing for extensive storage options.",https://m.media-amazon.com/images/I/41eWXkpZyXL._SL500_.jpg,"{'Nuevos': {'Cantidad': 7, 'Precio': '700.00 €.'}, 'Utilizados': {'Cantidad': 25, 'Precio': '325.54 €.'}}"
