URL,Nombre,Características,Descripción,Imagen,Precios
https://pc-builds.com/es/parts/power-supply/fGRFvf/enermax-maxpro-500w,Enermax MAXPRO  500W,"{'Factor de forma': 'ATX', 'Calificación de eficiencia': '80+', 'Potencia': '500 W', 'Longitud': '140 mm', 'Modular': 'No'}","The Enermax MAXPRO 500W power supply unit is designed following the ATX form factor, catering to a standard installation in most PC cases. With an efficiency rating of 80+, it provides reliable power management, ensuring lower energy consumption relative to its output. The power supply outputs a maximum of 500 watts, suitable for mid-range build requirements, while its physical dimensions measure 140 mm in length, making it compact enough for tight spaces.",https://m.media-amazon.com/images/I/31NkwcXGzvL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '75.09 €.'}}"
https://pc-builds.com/es/parts/power-supply/zdvqGA/evga-550-b5-550w,EVGA 550 B5  550W,"{'Factor de forma': 'ATX', 'Calificación de eficiencia': '80+ Bronze', 'Potencia': '550 W', 'Longitud': '150 mm', 'Modular': 'Full'}","The EVGA 550 B5 power supply features an ATX form factor and a 550W wattage capacity, suitable for mid-range builds. It has an 80+ Bronze efficiency rating, indicating a decent level of power efficiency, which can help in reducing electricity costs over time. The power supply measures 150 mm in length, making it compact enough for most cases.",https://m.media-amazon.com/images/I/51KQrXxGsZL._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '117.07 $.'}}"
https://pc-builds.com/es/parts/power-supply/xzYQPG/gigabyte-aorus-p-gm-850w,Gigabyte AORUS P GM  850W,"{'Factor de forma': 'ATX', 'Calificación de eficiencia': '80+ Gold', 'Potencia': '850 W', 'Longitud': '160 mm', 'Modular': 'Full'}","The Gigabyte AORUS P GM 850W power supply is designed in an ATX form factor, allowing for compatibility with a wide range of PC cases. With an efficiency rating of 80+ Gold, it offers efficient power delivery, thereby reducing energy waste and improving overall system performance. The compact design with a length of 160 mm enables easy installation in various build configurations.",https://m.media-amazon.com/images/I/51r24KB8IHL._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '104.90 £.'}}"
https://pc-builds.com/es/parts/power-supply/jJMTMX/seasonic-prime-1000w,SeaSonic PRIME  1000W,"{'Factor de forma': 'ATX', 'Calificación de eficiencia': '80+ Gold', 'Potencia': '1,000 W', 'Longitud': '170 mm', 'Modular': 'Full'}","The SeaSonic PRIME 1000W is designed with an ATX form factor, making it compatible with standard cases. It offers a power output of 1,000 watts, suitable for high-performance systems aiming for optimal power delivery. The efficiency rating of 80+ Gold indicates that it operates at a high level of energy efficiency, which helps in reducing electricity consumption and lowering operating costs.",https://m.media-amazon.com/images/I/416inB46uBS._SL500_.jpg,"{'Nuevos': {'Cantidad': 3, 'Precio': '263.35 €.'}}"
https://pc-builds.com/es/parts/power-supply/xVtaa4/seasonic-vertex-px-750-750w,SeaSonic VERTEX PX-750  750W,"{'Factor de forma': 'ATX', 'Calificación de eficiencia': '80+ Platinum', 'Potencia': '750 W', 'Longitud': '160 mm', 'Modular': 'Full'}","The SeaSonic VERTEX PX-750 is an ATX form factor power supply rated at 750W, designed to provide reliable power for various computer components. With an efficiency rating of 80+ Platinum, it ensures optimal energy usage, reducing waste and lowering electricity costs. The length of 160 mm allows for compatibility with a broad range of cases, making it a versatile option for many builds.",https://m.media-amazon.com/images/I/419wIre6WaL._SL500_.jpg,"{'Nuevos': {'Cantidad': 13, 'Precio': '198.80 €.'}}"
https://pc-builds.com/es/parts/power-supply/MLWA0g/thermaltake-toughpower-sfx-850w,Thermaltake Toughpower SFX  850W,"{'Factor de forma': 'SFX', 'Calificación de eficiencia': '80+ Gold', 'Potencia': '850 W', 'Longitud': '100 mm', 'Modular': 'Full'}","The Thermaltake Toughpower SFX 850W power supply features a compact SFX form factor and is designed to deliver a robust 850 watts of power. With an efficiency rating of 80+ Gold, it promises reliable energy consumption, making it suitable for high-performance systems while promoting energy efficiency. The unit measures just 100 mm in length, allowing it to fit seamlessly into smaller cases without sacrificing performance.",https://m.media-amazon.com/images/I/51SLyqIDkTL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '262.16 £.'}}"
https://pc-builds.com/es/parts/power-supply/DXjGjK/seasonic-ss-400et-bronze-400w,SeaSonic SS-400ET Bronze  400W,"{'Factor de forma': 'ATX', 'Calificación de eficiencia': '80+ Bronze', 'Potencia': '400 W', 'Longitud': '139 mm', 'Modular': 'No'}","The SeaSonic SS-400ET Bronze is an ATX form factor power supply that delivers a total output of 400 watts. Its efficiency rating of 80+ Bronze indicates that it provides satisfactory energy efficiency, ensuring that a significant portion of power drawn from the outlet is effectively converted to usable power for the components, reducing wasted energy. The compact length of 139 mm allows for easier integration into a variety of cases.",https://m.media-amazon.com/images/I/51AuO8OkzZL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '228.69 $.'}}"
https://pc-builds.com/es/parts/power-supply/8ktCCO/coolmax-cug-950b-950w,CoolMax CUG-950B  950W,"{'Factor de forma': 'ATX', 'Potencia': '950 W', 'Longitud': '160 mm', 'Modular': 'Full'}","The CoolMax CUG-950B is an ATX form factor power supply unit with a robust wattage rating of 950 watts, catering to high-performance computing needs. Its compact length of 160 mm makes it suitable for a variety of PC cases, while the full modular design allows for organized cable management, enhancing airflow and aesthetics. However, this model is not fanless, meaning it will generate some noise during operation.",https://m.media-amazon.com/images/I/31g9gCm9owL._SL500_.jpg,"{'Nuevos': {'Cantidad': 1, 'Precio': '106.22 $.'}}"
https://pc-builds.com/es/parts/power-supply/4vhn5e/super-flower-leadex-iii-argb-750w,Super Flower Leadex III ARGB  750W,"{'Factor de forma': 'ATX', 'Calificación de eficiencia': '80+ Gold', 'Potencia': '750 W', 'Longitud': '160 mm', 'Modular': 'Full'}","The Super Flower Leadex III ARGB 750W power supply comes in an ATX form factor, making it compatible with most standard cases. With a strong focus on efficiency, it boasts an 80+ Gold efficiency rating, ensuring optimal performance while minimizing energy waste. Its compact length of 160 mm allows for flexibility in installation, which is beneficial for narrower setups where space is limited.",https://m.media-amazon.com/images/I/51EHPUVjYqL._SL500_.jpg,"{'Nuevos': {'Cantidad': 2, 'Precio': '89.99 $.'}, 'Utilizados': {'Cantidad': 1, 'Precio': '86.42 $.'}}"
https://pc-builds.com/es/parts/power-supply/TXzXJ6/chieftec-polaris-1050w,Chieftec Polaris  1050W,"{'Factor de forma': 'ATX', 'Calificación de eficiencia': '80+ Gold', 'Potencia': '1,050 W', 'Longitud': '160 mm', 'Modular': 'Full'}","The Chieftec Polaris 1050W power supply features an ATX form factor, making it compatible with a wide range of cases. It boasts an efficiency rating of 80+ Gold, indicating a high level of energy efficiency, which can reduce electricity costs and improve system stability. The power supply delivers 1,050 W of total wattage, ensuring it can support power-hungry components effectively. With a length of 160 mm, it fits comfortably in most standard ATX chassis.",https://m.media-amazon.com/images/I/41xWBThnFhS._SL500_.jpg,"{'Nuevos': {'Cantidad': 3, 'Precio': '200.18 €.'}}"
